teamid,Stat,Value,Rank
3,pts,76,20th
3,savePctg,0.907,11th
3,shootingPctg,10.7,5th
3,shotsAllowed,34.1176,30th
3,shotsPerGame,31.1176,19th
3,winLeadFirstPer,0.731,19th
3,winLeadSecondPer,0.885,10th
3,winOppScoreFirst,0.4,13th
3,winOutshootOpp,0.462,17th
3,winOutshotByOpp,0.575,17th
3,winScoreFirst,0.632,14th
3,wins,36,13th
22,evGGARatio,0.8961,25th
22,faceOffWinPercentage,48.8,24th
22,faceOffsLost,1958,18th
22,faceOffsTaken,3823,25th
22,faceOffsWon,1865,25th
22,gamesPlayed,69,
22,goalsAgainstPerGame,3.014,14th
22,goalsPerGame,3.174,12th
22,losses,24,11th
22,ot,8,11th
22,penaltyKillOpportunities,,12th
22,penaltyKillPercentage,84.8,2nd
22,powerPlayGoals,59,1st
22,powerPlayGoalsAgainst,30,2nd
22,powerPlayOpportunities,199,18th
22,powerPlayPercentage,29.6,1st
22,ptPctg,59.4,9th
22,pts,82,9th
22,savePctg,0.905,15th
22,shootingPctg,10.7,4th
22,shotsAllowed,31.8986,20th
22,shotsPerGame,29.5362,28th
22,winLeadFirstPer,0.815,10th
22,winLeadSecondPer,0.897,6th
22,winOppScoreFirst,0.25,25th
22,winOutshootOpp,0.444,21st
22,winOutshotByOpp,0.579,21st
22,winScoreFirst,0.784,3rd
22,wins,37,8th
23,evGGARatio,0.9856,20th
23,faceOffWinPercentage,54.2,2nd
23,faceOffsLost,1779,2nd
23,faceOffsTaken,3883,18th
23,faceOffsWon,2104,3rd
23,gamesPlayed,67,
23,goalsAgainstPerGame,3.104,20th
23,goalsPerGame,3.269,8th
23,losses,26,16th
23,ot,6,24th
23,penaltyKillOpportunities,,19th
23,penaltyKillPercentage,80.0,16th
23,powerPlayGoals,56,3rd
23,powerPlayGoalsAgainst,42,19th
23,powerPlayOpportunities,231,2nd
23,powerPlayPercentage,24.2,4th
23,ptPctg,56.7,16th
23,pts,76,18th
23,savePctg,0.907,13th
23,shootingPctg,10.5,6th
23,shotsAllowed,33.2239,28th
23,shotsPerGame,31.2239,18th
23,winLeadFirstPer,0.75,17th
23,winLeadSecondPer,0.88,12th
23,winOppScoreFirst,0.306,16th
23,winOutshootOpp,0.382,28th
23,winOutshotByOpp,0.656,28th
23,winScoreFirst,0.774,13th
23,wins,35,17th
24,evGGARatio,0.8601,26th
24,faceOffWinPercentage,50.5,12th
24,faceOffsLost,1864,6th
24,faceOffsTaken,3767,27th
24,faceOffsWon,1903,22nd
24,gamesPlayed,68,
24,goalsAgainstPerGame,3.147,24th
24,goalsPerGame,2.515,29th
24,losses,32,27th
24,ot,8,18th
24,penaltyKillOpportunities,,16th
24,penaltyKillPercentage,77.3,22nd
24,powerPlayGoals,25,31st
24,powerPlayGoalsAgainst,46,24th
24,powerPlayOpportunities,177,30th
24,powerPlayPercentage,14.1,31st
24,ptPctg,47.1,27th
24,pts,64,27th
24,savePctg,0.902,18th
24,shootingPctg,8.4,28th
24,shotsAllowed,31.9559,21st
24,shotsPerGame,29.9706,27th
24,winLeadFirstPer,0.895,2nd
24,winLeadSecondPer,0.828,21st
24,winOppScoreFirst,0.229,29th
24,winOutshootOpp,0.185,31st
24,winOutshotByOpp,0.605,31st
24,winScoreFirst,0.606,27th
24,wins,28,28th
25,evGGARatio,1.0094,18th
25,faceOffWinPercentage,51.9,5th
25,faceOffsLost,1895,8th
25,faceOffsTaken,3936,10th
25,faceOffsWon,2041,7th
25,gamesPlayed,68,
25,goalsAgainstPerGame,2.5,2nd
25,goalsPerGame,2.588,26th
25,losses,23,9th
25,ot,8,10th
25,penaltyKillOpportunities,,23rd
25,penaltyKillPercentage,79.5,17th
25,powerPlayGoals,41,16th
25,powerPlayGoalsAgainst,44,22nd
25,powerPlayOpportunities,196,21st
25,powerPlayPercentage,20.9,12th
25,ptPctg,60.3,8th
25,pts,82,8th
25,savePctg,0.921,1st
25,shootingPctg,8.5,27th
25,shotsAllowed,31.6176,18th
25,shotsPerGame,30.5882,23rd
25,winLeadFirstPer,0.85,8th
25,winLeadSecondPer,0.885,8th
25,winOppScoreFirst,0.389,5th
25,winOutshootOpp,0.6,5th
25,winOutshotByOpp,0.485,5th
25,winScoreFirst,0.719,16th
25,wins,37,10th
26,evGGARatio,0.8248,27th
26,faceOffWinPercentage,50.8,8th
26,faceOffsLost,1913,9th
26,faceOffsTaken,3884,17th
26,faceOffsWon,1971,15th
26,gamesPlayed,68,
26,goalsAgainstPerGame,3.029,16th
26,goalsPerGame,2.515,30th
26,losses,35,30th
26,ot,6,26th
26,penaltyKillOpportunities,,7th
26,penaltyKillPercentage,77.0,25th
26,powerPlayGoals,32,24th
26,powerPlayGoalsAgainst,43,21st
26,powerPlayOpportunities,187,27th
26,powerPlayPercentage,17.1,25th
26,ptPctg,44.1,30th
26,pts,60,30th
26,savePctg,0.899,27th
26,shootingPctg,7.6,30th
26,shotsAllowed,29.8676,6th
26,shotsPerGame,33.1029,5th
26,winLeadFirstPer,0.643,25th
26,winLeadSecondPer,0.895,7th
26,winOppScoreFirst,0.167,31st
26,winOutshootOpp,0.341,29th
26,winOutshotByOpp,0.5,29th
26,winScoreFirst,0.579,22nd
26,wins,27,29th
28,evGGARatio,0.7806,30th
28,faceOffWinPercentage,49.1,22nd
28,faceOffsLost,1893,7th
28,faceOffsTaken,3718,30th
28,faceOffsWon,1825,28th
28,gamesPlayed,68,
28,goalsAgainstPerGame,3.162,26th
28,goalsPerGame,2.574,28th
28,losses,34,29th
28,ot,5,29th
28,penaltyKillOpportunities,,25th
28,penaltyKillPercentage,86.6,1st
28,powerPlayGoals,30,28th
28,powerPlayGoalsAgainst,29,1st
28,powerPlayOpportunities,182,29th
28,powerPlayPercentage,16.5,27th
28,ptPctg,46.3,28th
28,pts,63,28th
28,savePctg,0.896,30th
28,shootingPctg,8.6,26th
28,shotsAllowed,30.4559,10th
28,shotsPerGame,30,26th
28,winLeadFirstPer,0.778,14th
28,winLeadSecondPer,0.87,13th
28,winOppScoreFirst,0.237,24th
28,winOutshootOpp,0.429,22nd
28,winOutshotByOpp,0.433,22nd
28,winScoreFirst,0.667,28th
28,wins,29,26th
29,evGGARatio,1.0165,16th
29,faceOffWinPercentage,48.4,26th
