teams_name,PlayerName,roster_position_code,player_id,evenSaves,evenShots,evenStrengthSavePercentage,games,gamesStarted,goalAgainstAverage,goalsAgainst,losses,ot,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,savePercentage,saves,season,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,shotsAgainst,shutouts,ties,timeOnIce,timeOnIcePerGame,wins,fileSuffix
Pittsburgh Penguins,Tristan Jarry,G,8477465,55,62,88.7096774193548,2,2,3.5,7,1,1,"",0,0,0.887,55,20182019,"",0,0,62,0,0,120:03,60:01,0,_20182019
San Jose Sharks,Aaron Dell,G,8477180,452,503,89.8608349900596,25,20,3.17,70,8,4,79.7619047619048,67,84,0.886,543,20182019,92.3076923076923,24,26,613,2,0,1323:17,52:55,10,_20182019
San Jose Sharks,Martin Jones,G,8474889,1252,1398,89.5565092989986,62,62,2.94,176,19,5,88.6075949367088,210,237,0.896,1523,20182019,95.3125,61,64,1699,3,0,3597:13,58:01,36,_20182019
St. Louis Blues,Chad Johnson,G,8473434,285,324,87.962962962963,19,11,3.63,49,11,0,87.8787878787879,58,66,0.879,357,20182019,87.5,14,16,406,1,0,810:29,42:39,2,_20182019
St. Louis Blues,Jake Allen,G,8474596,967,1060,91.2264150943396,46,45,2.83,121,17,8,87.027027027027,161,185,0.905,1156,20182019,87.5,28,32,1277,3,0,2567:57,55:49,19,_20182019
St. Louis Blues,Jordan Binnington,G,8476412,644,688,93.6046511627907,32,30,1.89,59,5,1,87,87,100,0.927,748,20182019,89.4736842105263,17,19,807,5,0,1876:25,58:38,24,_20182019
Tampa Bay Lightning,Andrei Vasilevskiy,G,8476883,1292,1395,92.6164874551971,53,53,2.4,128,10,4,90.9774436090226,242,266,0.925,1585,20182019,98.0769230769231,51,52,1713,6,0,3203:45,60:26,39,_20182019
Tampa Bay Lightning,Edward Pasquale,G,8475277,80,92,86.9565217391304,3,3,3.96,12,1,0,100,9,9,0.882,90,20182019,100,1,1,102,0,0,181:58,60:39,2,_20182019
Tampa Bay Lightning,Louis Domingue,G,8475839,598,655,91.2977099236641,26,26,2.88,75,5,0,87.3015873015873,110,126,0.908,737,20182019,93.5483870967742,29,31,812,0,0,1560:37,60:01,21,_20182019
Toronto Maple Leafs,Frederik Andersen,G,8475883,1564,1687,92.7089508002371,60,60,2.77,162,16,7,84.8623853211009,185,218,0.917,1796,20182019,88.6792452830189,47,53,1958,1,0,3510:15,58:30,36,_20182019
Toronto Maple Leafs,Garret Sparks,G,8476343,481,531,90.5838041431262,20,17,3.15,58,9,1,86.9565217391304,40,46,0.902,534,20182019,86.6666666666667,13,15,592,1,0,1104:42,55:14,8,_20182019
Toronto Maple Leafs,Michael Hutchinson,G,8474636,181,201,90.0497512437811,9,8,3.27,27,4,2,81.25,26,32,0.887,212,20182019,83.3333333333333,5,6,239,1,0,496:10,55:07,3,_20182019
Vancouver Canucks,Anders Nilsson,G,8475195,853,929,91.8191603875134,36,34,2.97,101,19,1,84.2105263157895,112,133,0.908,997,20182019,88.8888888888889,32,36,1098,2,0,2039:48,56:39,14,_20182019
Vancouver Canucks,Jacob Markstrom,G,8474593,1468,1599,91.8073796122577,60,60,2.77,166,23,9,87.6543209876543,213,243,0.912,1730,20182019,90.7407407407408,49,54,1896,1,0,3599:01,59:59,28,_20182019
Vancouver Canucks,Michael Dipietro,G,8480022,13,20,65,1,1,7,7,1,0,100,3,3,0.708,17,20182019,100,1,1,24,0,0,60:00,60:00,0,_20182019
Vancouver Canucks,Richard Bachman,G,8473614,21,25,84,1,1,6,6,1,0,33.3333333333333,1,3,0.793,23,20182019,100,1,1,29,0,0,60:00,60:00,0,_20182019
Vancouver Canucks,Thatcher Demko,G,8477967,227,248,91.5322580645161,9,8,2.81,25,3,1,89.1891891891892,33,37,0.913,263,20182019,100,3,3,288,0,0,534:09,59:21,4,_20182019
Vegas Golden Knights,Malcolm Subban,G,8476876,478,524,91.2213740458015,21,20,2.93,60,10,2,81.0810810810811,60,74,0.902,552,20182019,100,14,14,612,1,0,1226:47,58:25,8,_20182019
Vegas Golden Knights,Marc-Andre Fleury,G,8470594,1321,1441,91.6724496877169,61,61,2.51,152,21,5,88.3268482490272,227,257,0.913,1593,20182019,95.7446808510638,45,47,1745,8,0,3635:08,59:35,35,_20182019
Vegas Golden Knights,Maxime Lagace,G,8476509,22,26,84.6153846153846,1,1,4,4,1,0,100,5,5,0.871,27,20182019,"",0,0,31,0,0,59:31,59:31,0,_20182019
Washington Capitals,Braden Holtby,G,8474651,1387,1504,92.2207446808511,59,58,2.82,160,19,5,82.6839826839827,191,231,0.911,1635,20182019,95,57,60,1795,3,0,3406:34,57:44,32,_20182019
Washington Capitals,Pheonix Copley,G,8477831,591,648,91.2037037037037,27,24,2.9,74,7,3,85.7142857142857,90,105,0.905,702,20182019,91.304347826087,21,23,776,1,0,1528:56,56:37,16,_20182019
Winnipeg Jets,Connor Hellebuyck,G,8476945,1541,1675,92,63,62,2.9,179,23,3,87.2611464968153,274,314,0.913,1872,20182019,91.9354838709677,57,62,2051,2,0,3704:06,58:47,34,_20182019
Winnipeg Jets,Eric Comrie,G,8477480,22,27,81.4814814814815,1,1,5,5,1,0,"",0,0,0.821,23,20182019,100,1,1,28,0,0,59:53,59:53,0,_20182019
Winnipeg Jets,Laurent Brossoit,G,8476316,498,533,93.4333958724203,21,19,2.52,49,6,2,88.1188118811881,89,101,0.925,603,20182019,88.8888888888889,16,18,652,1,0,1165:17,55:29,13,_20182019
